Mach,Alpha,CD,CL,CM
0.6,0,0.947763666,0,0
0.6,5,1.114436013,0.495175707,-0.170496144
0.6,10,1.33476709,1.135844857,-0.376806015
0.8,0,1.014135248,0,0
0.8,5,1.160391496,0.447879717,-0.192602038
0.8,10,1.374957438,1.158183146,-0.406645592
1.2,0,1.418571161,0,0
1.2,5,1.511773663,0.514683167,-0.172782686
1.2,10,1.740503534,1.234602909,-0.415512871
1.6,0,1.543879961,0,0
1.6,5,1.608618668,0.430163388,-0.136775738
1.6,10,1.80010804,1.069842089,-0.319912883
2,0,1.5745962,0,0
2,5,1.623411897,0.350231502,-0.10182742
2,10,1.774733463,0.935298903,-0.239254546
